playerID,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,WP,HBP,BFP,R,IP,Win Percentage,Strikeout to Walk,WHIP,ERA_corrected,inducted
adkinde01,2.0,4.0,38.0,6.0,1.0,0.0,0.0,114.0,62.0,10.0,50.0,47.0,3.0,0.0,451.0,69.0,99.0,0.3333333333333333,0.94,1.6565656565656566,5.636363636363637,N
adkindo01,1.0,1.0,6.0,3.0,1.0,0.0,1.0,40.0,15.0,2.0,12.0,3.0,0.0,1.0,130.0,28.0,27.0,0.5,0.25,1.9259259259259258,5.0,N
adkingr01,12.0,27.0,67.0,42.0,19.0,0.0,1.0,403.0,175.0,24.0,156.0,78.0,4.0,7.0,1626.0,211.0,363.0,0.3076923076923077,0.5,1.5399449035812671,4.338842975206611,N
adkinjo01,5.0,5.0,119.0,0.0,0.0,0.0,0.0,155.0,70.0,18.0,54.0,81.0,1.0,5.0,605.0,75.0,138.66666666666666,0.5,1.5,1.5072115384615385,4.543269230769231,N
adkinst01,1.0,2.0,5.0,5.0,0.0,0.0,0.0,19.0,17.0,4.0,29.0,14.0,2.0,0.0,115.0,18.0,24.0,0.3333333333333333,0.4827586206896552,2.0,6.375,N
adlemti01,9.0,15.0,43.0,33.0,0.0,0.0,0.0,188.0,106.0,42.0,71.0,155.0,1.0,11.0,818.0,111.0,192.0,0.375,2.183098591549296,1.3489583333333333,4.96875,N
adriaeh01,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,1.0,13.0,4.0,2.0,0.0,inf,3.0,18.0,N
affelje01,43.0,46.0,774.0,42.0,0.0,0.0,28.0,904.0,408.0,76.0,396.0,720.0,55.0,42.0,4034.0,455.0,926.0,0.48314606741573035,1.8181818181818181,1.4038876889848813,3.9654427645788335,N
agostju01,40.0,33.0,543.0,2.0,0.0,0.0,29.0,639.0,279.0,30.0,248.0,307.0,21.0,30.0,2713.0,313.0,626.3333333333334,0.547945205479452,1.2379032258064515,1.4161788185204895,4.0090473656200105,N
agrazda01,4.0,5.0,15.0,14.0,0.0,0.0,0.0,82.0,40.0,15.0,18.0,41.0,0.0,10.0,321.0,43.0,73.33333333333333,0.4444444444444444,2.2777777777777777,1.3636363636363638,4.90909090909091,N
aguilri01,86.0,81.0,732.0,89.0,10.0,0.0,318.0,1233.0,512.0,138.0,351.0,1030.0,53.0,36.0,5391.0,568.0,1291.3333333333333,0.5149700598802395,2.9344729344729346,1.2266391326794013,3.5684047496128035,N
aguirha01,75.0,72.0,447.0,149.0,44.0,9.0,33.0,1216.0,496.0,123.0,479.0,856.0,35.0,47.0,5790.0,562.0,1375.6666666666667,0.5102040816326531,1.7870563674321502,1.2321298764235522,3.2449721347225586,N
ahearpa01,0.0,2.0,4.0,3.0,0.0,0.0,0.0,20.0,13.0,2.0,5.0,4.0,1.0,0.0,55.0,13.0,10.0,0.0,0.8,2.5,11.700000000000001,N
ainswku01,6.0,8.0,29.0,22.0,0.0,0.0,0.0,136.0,73.0,16.0,61.0,90.0,7.0,8.0,569.0,78.0,126.66666666666667,0.42857142857142855,1.4754098360655739,1.5552631578947367,5.186842105263158,N
aitchra01,12.0,12.0,34.0,22.0,10.0,3.0,0.0,193.0,69.0,7.0,67.0,101.0,9.0,5.0,873.0,98.0,206.33333333333334,0.5,1.507462686567164,1.2600969305331178,3.009693053311793,N
akerfda01,9.0,10.0,125.0,13.0,1.0,0.0,3.0,216.0,132.0,36.0,127.0,129.0,21.0,13.0,1047.0,146.0,233.66666666666666,0.47368421052631576,1.015748031496063,1.4679029957203995,5.084165477888731,N
akerja01,47.0,45.0,495.0,0.0,0.0,0.0,123.0,679.0,272.0,64.0,274.0,404.0,13.0,40.0,3144.0,312.0,746.0,0.5108695652173914,1.4744525547445255,1.2774798927613942,3.281501340482574,N
akersje01,1.0,1.0,5.0,1.0,0.0,0.0,0.0,24.0,11.0,1.0,15.0,11.0,0.0,2.0,97.0,17.0,20.333333333333332,0.5,0.7333333333333333,1.918032786885246,4.868852459016394,N
akinke01,1.0,2.0,8.0,6.0,0.0,0.0,0.0,27.0,13.0,3.0,10.0,35.0,0.0,1.0,116.0,17.0,25.666666666666668,0.3333333333333333,3.5,1.4415584415584415,4.558441558441558,N
alanirj01,1.0,0.0,12.0,0.0,0.0,0.0,0.0,19.0,16.0,3.0,7.0,13.0,0.0,0.0,71.0,17.0,15.666666666666666,1.0,1.8571428571428572,1.6595744680851063,9.191489361702128,N
albagi01,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,14.0,2.0,3.3333333333333335,0.0,1.5,0.8999999999999999,2.6999999999999997,N
albaljo01,6.0,3.0,66.0,0.0,0.0,0.0,0.0,77.0,37.0,10.0,32.0,56.0,0.0,7.0,332.0,40.0,76.66666666666667,0.6666666666666666,1.75,1.4217391304347826,4.343478260869565,N
albanjo01,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,2.0,3.0,0.0,0.0,27.0,3.0,6.0,0.0,1.5,1.6666666666666667,4.5,N
alberan01,7.0,6.0,26.0,18.0,1.0,1.0,1.0,135.0,55.0,18.0,25.0,79.0,2.0,4.0,523.0,73.0,120.66666666666667,0.5384615384615384,3.16,1.3259668508287292,4.102209944751381,N
albercy01,1.0,2.0,4.0,3.0,2.0,0.0,0.0,35.0,19.0,1.0,20.0,10.0,1.0,0.0,126.0,22.0,27.666666666666668,0.3333333333333333,0.5,1.9879518072289155,6.180722891566265,N
alberjo01,0.0,4.0,27.0,5.0,0.0,0.0,0.0,77.0,48.0,7.0,36.0,23.0,5.0,2.0,290.0,57.0,58.333333333333336,0.0,0.6388888888888888,1.937142857142857,7.405714285714286,N
alberma01,47.0,48.0,616.0,24.0,0.0,0.0,7.0,751.0,367.0,87.0,314.0,571.0,29.0,35.0,3288.0,399.0,759.0,0.49473684210526314,1.8184713375796178,1.4031620553359683,4.351778656126482,N
albosed01,0.0,8.0,19.0,8.0,0.0,0.0,0.0,52.0,36.0,4.0,43.0,24.0,1.0,1.0,250.0,43.0,52.666666666666664,0.0,0.5581395348837209,1.8037974683544304,6.151898734177215,N
albreed01,1.0,1.0,3.0,2.0,1.0,0.0,0.0,7.0,7.0,0.0,11.0,2.0,0.0,0.0,52.0,10.0,11.666666666666666,0.5,0.18181818181818182,1.542857142857143,5.3999999999999995,N
albural01,17.0,8.0,264.0,0.0,0.0,0.0,1.0,187.0,86.0,17.0,135.0,291.0,20.0,8.0,1045.0,88.0,245.0,0.68,2.1555555555555554,1.3142857142857143,3.1591836734693874,N
alburvi01,18.0,17.0,101.0,37.0,6.0,1.0,1.0,338.0,170.0,36.0,220.0,193.0,21.0,12.0,1630.0,194.0,372.6666666666667,0.5142857142857142,0.8772727272727273,1.4973166368515205,4.105545617173524,N
alcaljo01,2.0,1.0,18.0,0.0,0.0,0.0,0.0,22.0,7.0,3.0,9.0,28.0,1.0,0.0,101.0,8.0,25.666666666666668,0.6666666666666666,3.111111111111111,1.2077922077922076,2.454545454545454,N
alcalsa01,14.0,11.0,68.0,33.0,3.0,1.0,2.0,257.0,132.0,25.0,121.0,140.0,9.0,6.0,1103.0,138.0,249.33333333333334,0.56,1.1570247933884297,1.516042780748663,4.764705882352941,N
alcanra01,2.0,5.0,13.0,9.0,0.0,0.0,0.0,53.0,37.0,14.0,16.0,26.0,1.0,7.0,211.0,39.0,46.333333333333336,0.2857142857142857,1.625,1.489208633093525,7.187050359712229,N
alcansa01,11.0,19.0,53.0,45.0,2.0,2.0,0.0,248.0,116.0,32.0,125.0,230.0,5.0,11.0,1195.0,135.0,281.6666666666667,0.36666666666666664,1.84,1.3242603550295857,3.7065088757396447,N
alcanvi01,4.0,3.0,79.0,0.0,0.0,0.0,0.0,82.0,38.0,14.0,25.0,50.0,6.0,4.0,340.0,40.0,80.0,0.5714285714285714,2.0,1.3375,4.2749999999999995,N
alderda01,0.0,1.0,16.0,3.0,0.0,0.0,0.0,52.0,26.0,4.0,12.0,11.0,0.0,0.0,168.0,30.0,35.666666666666664,0.0,0.9166666666666666,1.7943925233644862,6.560747663551402,N
aldresc01,20.0,39.0,229.0,67.0,1.0,0.0,1.0,581.0,334.0,78.0,230.0,312.0,30.0,19.0,2267.0,356.0,499.6666666666667,0.3389830508474576,1.3565217391304347,1.6230820547031353,6.016010673782521,N
aldrija01,6.0,5.0,62.0,0.0,0.0,0.0,2.0,119.0,57.0,12.0,39.0,46.0,3.0,3.0,474.0,62.0,108.66666666666667,0.5454545454545454,1.1794871794871795,1.4539877300613497,4.720858895705521,N
aldrivi01,97.0,80.0,248.0,205.0,102.0,8.0,6.0,1671.0,668.0,87.0,512.0,526.0,24.0,39.0,6852.0,785.0,1600.6666666666667,0.5480225988700564,1.02734375,1.3638067471886712,3.755935027072053,N
alexabo01,1.0,1.0,9.0,0.0,0.0,0.0,0.0,18.0,13.0,0.0,7.0,2.0,2.0,2.0,57.0,13.0,11.0,0.5,0.2857142857142857,2.272727272727273,10.636363636363637,N
alexado01,194.0,174.0,561.0,464.0,98.0,18.0,3.0,3376.0,1406.0,324.0,978.0,1528.0,74.0,53.0,14162.0,1541.0,3367.6666666666665,0.5271739130434783,1.5623721881390593,1.292883301989508,3.7574977729387316,N
alexage01,6.0,3.0,36.0,11.0,0.0,0.0,0.0,112.0,63.0,12.0,54.0,59.0,3.0,4.0,453.0,67.0,98.0,0.6666666666666666,1.0925925925925926,1.6938775510204083,5.7857142857142865,N
alexape01,373.0,208.0,696.0,599.0,437.0,90.0,32.0,4868.0,1476.0,164.0,951.0,2198.0,39.0,70.0,20928.0,1851.0,5190.0,0.6419965576592083,2.3112513144058884,1.121194605009634,2.5595375722543356,Y
alexasc01,12.0,7.0,193.0,1.0,0.0,0.0,7.0,174.0,67.0,12.0,81.0,152.0,6.0,4.0,788.0,74.0,189.66666666666666,0.631578947368421,1.876543209876543,1.344463971880492,3.179261862917399,N
alexaty01,3.0,7.0,27.0,10.0,0.0,0.0,0.0,107.0,45.0,17.0,16.0,81.0,1.0,6.0,387.0,46.0,90.0,0.3,5.0625,1.3666666666666667,4.5,N
alfonan01,35.0,37.0,592.0,0.0,0.0,0.0,129.0,677.0,280.0,55.0,250.0,400.0,13.0,22.0,2710.0,296.0,613.0,0.4861111111111111,1.6,1.5122349102773247,4.1109298531810765,N
allarbr01,4.0,6.0,19.0,13.0,3.0,0.0,0.0,97.0,45.0,9.0,31.0,44.0,1.0,1.0,399.0,52.0,95.66666666666667,0.4,1.4193548387096775,1.337979094076655,4.2334494773519165,N
allarko01,5.0,9.0,23.0,18.0,0.0,0.0,0.0,102.0,65.0,10.0,43.0,68.0,2.0,4.0,407.0,67.0,87.0,0.35714285714285715,1.5813953488372092,1.6666666666666667,6.724137931034482,N
allenbo03,0.0,1.0,3.0,1.0,0.0,0.0,0.0,18.0,9.0,2.0,8.0,8.0,0.0,0.0,64.0,12.0,12.0,0.0,1.0,2.1666666666666665,6.75,N
allenbo04,7.0,12.0,204.0,0.0,0.0,0.0,19.0,288.0,125.0,23.0,132.0,199.0,18.0,5.0,1232.0,152.0,274.0,0.3684210526315789,1.5075757575757576,1.532846715328467,4.105839416058394,N
allenco01,24.0,31.0,481.0,0.0,0.0,0.0,153.0,375.0,162.0,55.0,193.0,593.0,40.0,10.0,1943.0,179.0,463.6666666666667,0.43636363636363634,3.0725388601036268,1.225017972681524,3.1445003594536307,N
allenfr01,50.0,67.0,180.0,127.0,60.0,10.0,3.0,893.0,316.0,26.0,373.0,457.0,23.0,35.0,4014.0,411.0,970.3333333333334,0.42735042735042733,1.225201072386059,1.3047062864994847,2.930951563036757,N
allenjo01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,18.0,N
allenjo02,142.0,75.0,352.0,241.0,109.0,17.0,18.0,1849.0,813.0,104.0,738.0,1070.0,68.0,38.0,8292.0,924.0,1950.3333333333333,0.6543778801843319,1.4498644986449865,1.3264399247991796,3.7516663818150744,N
allenll01,8.0,25.0,159.0,19.0,0.0,0.0,22.0,291.0,155.0,19.0,196.0,194.0,27.0,11.0,1366.0,183.0,297.3333333333333,0.24242424242424243,0.9897959183673469,1.6378923766816145,4.691704035874439,N
allenlo01,2.0,3.0,12.0,4.0,0.0,0.0,0.0,48.0,23.0,5.0,20.0,24.0,1.0,3.0,176.0,24.0,38.333333333333336,0.4,1.2,1.7739130434782608,5.3999999999999995,N
allenmy01,1.0,3.0,5.0,3.0,3.0,0.0,0.0,34.0,7.0,0.0,7.0,3.0,2.0,3.0,147.0,16.0,35.666666666666664,0.25,0.42857142857142855,1.1495327102803738,1.7663551401869162,N
allenne01,58.0,70.0,434.0,59.0,7.0,6.0,75.0,985.0,426.0,73.0,417.0,611.0,39.0,9.0,4248.0,464.0,988.3333333333334,0.453125,1.4652278177458034,1.418549747048904,3.879258010118044,N
allisda01,1.0,1.0,11.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,5.0,4.0,0.0,0.0,49.0,9.0,11.0,0.5,0.8,1.9090909090909092,7.363636363636364,N
allisma01,9.0,21.0,45.0,27.0,17.0,1.0,1.0,247.0,87.0,4.0,67.0,57.0,9.0,11.0,990.0,135.0,246.66666666666666,0.3,0.8507462686567164,1.272972972972973,3.174324324324324,N
almanar01,14.0,13.0,254.0,0.0,0.0,0.0,2.0,189.0,115.0,34.0,136.0,232.0,8.0,6.0,951.0,123.0,214.66666666666666,0.5185185185185185,1.7058823529411764,1.513975155279503,4.821428571428571,N
almanca01,13.0,13.0,210.0,1.0,0.0,0.0,0.0,252.0,128.0,35.0,82.0,170.0,10.0,13.0,1044.0,134.0,239.0,0.5,2.073170731707317,1.397489539748954,4.8200836820083675,N
almoned01,0.0,0.0,12.0,0.0,0.0,0.0,0.0,21.0,14.0,3.0,5.0,7.0,1.0,0.0,57.0,15.0,11.333333333333334,0.0,1.4,2.2941176470588234,11.117647058823527,N
almonhe01,1.0,4.0,50.0,0.0,0.0,0.0,0.0,63.0,36.0,6.0,30.0,40.0,8.0,2.0,243.0,36.0,51.666666666666664,0.2,1.3333333333333333,1.8,6.270967741935484,N
almonmi01,0.0,2.0,19.0,0.0,0.0,0.0,0.0,21.0,17.0,5.0,12.0,17.0,1.0,2.0,87.0,17.0,17.666666666666668,0.0,1.4166666666666667,1.8679245283018866,8.660377358490566,N
almonye01,3.0,1.0,66.0,0.0,0.0,0.0,1.0,79.0,33.0,10.0,24.0,66.0,2.0,4.0,330.0,40.0,76.33333333333333,0.75,2.75,1.349344978165939,3.890829694323144,N
alomalu01,18.0,3.0,116.0,1.0,1.0,1.0,15.0,212.0,90.0,21.0,111.0,115.0,5.0,4.0,1001.0,98.0,235.33333333333334,0.8571428571428571,1.0360360360360361,1.3725212464589234,3.441926345609065,N
alouma01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,10.0,0.0,2.0,0.0,3.0,2.0,0.0,N
alstoga01,1.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,3.0,5.0,1.0,1.0,30.0,6.0,6.0,1.0,1.6666666666666667,2.0,9.0,N
altampo01,7.0,4.0,65.0,0.0,0.0,0.0,2.0,87.0,41.0,13.0,30.0,57.0,4.0,3.0,385.0,43.0,91.66666666666667,0.6363636363636364,1.9,1.2763636363636364,4.025454545454545,N
altavda01,8.0,7.0,117.0,0.0,0.0,0.0,1.0,92.0,51.0,15.0,60.0,127.0,18.0,4.0,489.0,58.0,114.66666666666667,0.5333333333333333,2.1166666666666667,1.3255813953488371,4.002906976744185,N
