playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG
delgara01,272,87,5,14,0,0,0,2.0,0.0,1,36.0,0.0,12.0,0.0,0.16091954022988506,0.17045454545454544,0.16091954022988506
delgawi01,253,542,59,136,15,2,5,43.0,5.0,47,108.0,4.0,5.0,3.0,0.25092250922509224,0.313758389261745,0.31365313653136534
delgrbo01,731,1982,271,454,95,11,42,169.0,16.0,271,372.0,32.0,29.0,9.0,0.22906155398587286,0.32999128160418484,0.35166498486377396
delhifl01,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delisju01,54,132,12,25,3,1,0,11.0,1.0,3,15.0,2.0,2.0,0.0,0.1893939393939394,0.21897810218978103,0.22727272727272727
delkeed01,98,187,19,29,9,3,1,15.0,0.0,16,45.0,2.0,12.0,0.0,0.15508021390374332,0.22926829268292684,0.25133689839572193
dellaja01,11,33,1,3,0,0,0,2.0,0.0,1,13.0,0.0,0.0,1.0,0.09090909090909091,0.11428571428571428,0.09090909090909091
delluda01,1099,2873,431,736,141,35,101,398.0,41.0,322,714.0,46.0,3.0,22.0,0.2561782109293422,0.3383389518847686,0.43508527671423597
dellwh01,92,126,5,15,2,0,0,12.0,0.0,5,42.0,2.0,4.0,0.0,0.11904761904761904,0.16541353383458646,0.1349206349206349
delmabe01,12,28,4,7,0,0,0,0.0,0.0,1,7.0,0.0,0.0,0.0,0.25,0.27586206896551724,0.25
delmoni01,158,508,62,114,17,5,18,57.0,3.0,56,138.0,9.0,0.0,1.0,0.22440944881889763,0.3118466898954704,0.3838582677165354
delocik01,329,361,18,31,3,0,1,8.0,0.0,29,154.0,0.0,35.0,0.0,0.08587257617728532,0.15384615384615385,0.10249307479224377
delosab01,7,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delosen01,12,4,0,0,0,0,0,0.0,0.0,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
delosfa01,40,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deloslu01,55,139,8,29,6,2,0,7.0,0.0,11,22.0,0.0,0.0,0.0,0.20863309352517986,0.26666666666666666,0.2805755395683453
deloslu02,3,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delosra01,12,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delosva01,235,12,0,0,0,0,0,0.0,0.0,1,8.0,0.0,3.0,0.0,0.0,0.07692307692307693,0.0
delpomi01,22,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delroen01,84,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delsaga01,4,11,0,1,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.09090909090909091,0.16666666666666666,0.09090909090909091
delsiji01,822,2461,322,627,112,21,40,286.0,15.0,299,251.0,19.0,17.0,6.0,0.25477448191791957,0.3393177737881508,0.366111336854937
deltomi01,23,6,1,1,0,0,0,2.0,0.0,0,3.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
delucri01,320,14,2,3,0,0,0,0.0,0.0,2,3.0,0.0,1.0,0.0,0.21428571428571427,0.3125,0.21428571428571427
demaejo01,1121,3441,322,813,114,23,49,281.0,15.0,168,511.0,17.0,30.0,22.0,0.23626852659110723,0.2735745614035088,0.3254867770996803
demaral01,232,456,30,54,3,1,0,16.0,5.0,23,148.0,0.0,15.0,0.0,0.11842105263157894,0.16075156576200417,0.12938596491228072
demarbi01,80,211,29,50,5,1,0,14.0,0.0,28,16.0,0.0,5.0,0.0,0.23696682464454977,0.3263598326359833,0.27014218009478674
demarch01,18,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demarfr01,1,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
demarfr02,1155,4144,578,1241,190,36,72,591.0,33.0,359,269.0,14.0,99.0,0.0,0.29946911196911197,0.3573168031879566,0.41481660231660233
demelsa01,72,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demerjo01,93,132,21,23,3,0,3,7.0,1.0,8,33.0,1.0,0.0,0.0,0.17424242424242425,0.22695035460992907,0.26515151515151514
demerla01,157,117,11,16,1,3,0,4.0,0.0,8,49.0,0.0,9.0,1.0,0.13675213675213677,0.19047619047619047,0.19658119658119658
demertr01,66,198,29,43,8,2,3,14.0,3.0,17,77.0,2.0,1.0,1.0,0.21717171717171718,0.28440366972477066,0.32323232323232326
demetdo01,1109,3443,467,912,147,17,163,563.0,22.0,180,658.0,42.0,33.0,32.0,0.264885274469939,0.30673519069515826,0.45948300900377576
demetst01,15,23,1,2,1,0,0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.08695652173913043,0.08695652173913043,0.13043478260869565
demilha01,4,10,2,3,0,0,0,5.0,2.0,2,1.0,0.0,0.0,0.0,0.3,0.4166666666666667,0.3
demmira01,498,1631,205,419,61,33,8,165.0,42.0,172,166.0,17.0,50.0,0.0,0.2568976088289393,0.33406593406593404,0.3494788473329246
demoldo01,85,12,0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
demonge01,922,3615,537,1096,130,35,17,497.0,228.0,174,231.0,25.0,118.0,0.0,0.3031811894882434,0.33953854221289986,0.37261410788381744
demonle01,26,70,8,17,3,1,0,7.0,3.0,8,15.0,2.0,2.0,0.0,0.24285714285714285,0.3375,0.3142857142857143
demotbe01,11,22,0,3,0,0,0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.13636363636363635,0.20833333333333334,0.13636363636363635
dempsco01,3,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
dempsma01,3,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dempsri01,1766,4692,525,1093,223,12,96,471.0,20.0,592,736.0,18.0,63.0,42.0,0.23294970161977835,0.3186751497005988,0.34697357203751067
dempsry01,586,588,23,58,9,2,0,17.0,0.0,13,221.0,0.0,85.0,0.0,0.09863945578231292,0.11813643926788686,0.12074829931972789
dendema01,166,368,46,82,19,1,7,30.0,12.0,41,100.0,3.0,2.0,1.0,0.22282608695652173,0.3050847457627119,0.33695652173913043
denehbi01,49,11,1,0,0,0,0,0.0,0.0,4,5.0,0.0,3.0,0.0,0.0,0.26666666666666666,0.0
denketr01,24,37,6,9,4,1,1,3.0,0.0,5,10.0,0.0,0.0,0.0,0.24324324324324326,0.3333333333333333,0.4864864864864865
denmabr01,9,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denneky01,4,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denneto01,9,24,4,7,2,0,0,2.0,0.0,1,3.0,0.0,0.0,0.0,0.2916666666666667,0.32,0.375
dennido01,79,17,0,3,0,0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.17647058823529413,0.17647058823529413,0.17647058823529413
denniot01,129,343,23,76,20,0,1,32.0,3.0,23,15.0,1.0,4.0,0.0,0.22157434402332363,0.2724795640326976,0.2886297376093295
denniry01,8,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dennyje01,1237,4946,714,1286,238,76,74,667.0,130.0,173,602.0,15.0,6.0,0.0,0.2600080873433077,0.28710557070510323,0.38374443995147595
