playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,inducted
gedeoel01,5.0,15.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.2,0.29411764705882354,0.2,N
gedeojo01,584.0,2109.0,259.0,515.0,82.0,20.0,1.0,171.0,33.0,180.0,181.0,25.0,132.0,0.0,0.24419155998103367,0.3111495246326707,0.30346135609293506,N
gedmari01,1033.0,3159.0,331.0,795.0,176.0,12.0,88.0,382.0,3.0,236.0,509.0,16.0,29.0,28.0,0.251661918328585,0.30444896772317537,0.39854384298828743,N
gedneco01,202.0,832.0,139.0,209.0,25.0,8.0,5.0,99.0,8.0,13.0,26.0,0.0,0.0,0.0,0.2512019230769231,0.26272189349112424,0.31850961538461536,N
geedi01,165.0,194.0,8.0,21.0,3.0,1.0,0.0,11.0,0.0,9.0,89.0,1.0,28.0,1.0,0.10824742268041238,0.15121951219512195,0.13402061855670103,N
geejo01,44.0,51.0,4.0,8.0,0.0,1.0,0.0,4.0,0.0,3.0,17.0,0.0,3.0,0.0,0.1568627450980392,0.2037037037037037,0.19607843137254902,N
geerbi01,232.0,893.0,128.0,191.0,36.0,11.0,0.0,33.0,2.0,55.0,22.0,2.0,0.0,0.0,0.21388577827547592,0.26105263157894737,0.2788353863381859,N
geerjo01,24.0,33.0,3.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,14.0,0.0,5.0,0.0,0.15151515151515152,0.2222222222222222,0.18181818181818182,N
gehrich01,2323.0,8860.0,1774.0,2839.0,574.0,146.0,184.0,1427.0,181.0,1186.0,372.0,50.0,141.0,0.0,0.32042889390519186,0.40362519809825675,0.4804740406320542,N
gehrihe01,25.0,49.0,9.0,12.0,3.0,1.0,1.0,10.0,1.0,5.0,11.0,0.0,0.0,0.0,0.24489795918367346,0.3148148148148148,0.40816326530612246,N
gehrilo01,2164.0,8001.0,1888.0,2721.0,534.0,163.0,493.0,1995.0,102.0,1508.0,790.0,45.0,106.0,0.0,0.3400824896887889,0.44735189449445256,0.6324209473815773,Y
gehrmpa01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
geierph01,349.0,1315.0,197.0,327.0,30.0,12.0,2.0,102.0,54.0,154.0,110.0,10.0,18.0,0.0,0.24866920152091254,0.33198106828938473,0.29429657794676806,N
geigega01,954.0,2569.0,388.0,633.0,91.0,29.0,77.0,283.0,62.0,341.0,466.0,17.0,27.0,14.0,0.24639937718956792,0.3369602176130568,0.39431685480731804,N
geisbi01,88.0,324.0,24.0,56.0,11.0,5.0,2.0,18.0,0.0,7.0,60.0,0.0,0.0,0.0,0.1728395061728395,0.1903323262839879,0.25617283950617287,N
geiseda01,131.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.125,0.0,N
geishve01,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.1,0.0,N
geissem01,3.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,N
