playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG
aparilu01,2601,10230,1335,2677,394,92,83,791.0,506.0,736,742.0,27.0,161.0,76.0,0.2616813294232649,0.3107778480440871,0.34252199413489737
applilu01,2422,8856,1319,2749,440,102,45,1116.0,179.0,1302,528.0,11.0,74.0,0.0,0.31041102077687444,0.3994493067164913,0.3983739837398374
archeji01,847,2646,246,660,106,34,16,296.0,36.0,124,283.0,19.0,93.0,0.0,0.2494331065759637,0.28791681606310504,0.3333333333333333
arenano01,1079,4118,649,1206,262,27,235,760.0,16.0,362,684.0,22.0,5.0,50.0,0.29286061194754737,0.3492970123022847,0.5407965031568722
armasto01,1432,5164,614,1302,204,39,251,815.0,18.0,260,1201.0,15.0,11.0,52.0,0.25213013168086756,0.28719723183391005,0.4525561580170411
arnovmo01,590,2013,234,577,104,12,22,261.0,17.0,185,139.0,10.0,21.0,0.0,0.2866368604073522,0.3496376811594203,0.3830104321907601
ashburi01,2189,8365,1322,2574,317,109,29,586.0,234.0,1198,571.0,43.0,112.0,18.0,0.3077106993424985,0.396404821280133,0.382068141063957
ashbyal01,1370,4123,397,1010,183,13,90,513.0,7.0,461,622.0,11.0,55.0,41.0,0.24496725685180692,0.319672131147541,0.3611447974775649
asprobo01,1324,4369,386,1103,135,26,60,457.0,19.0,333,459.0,29.0,36.0,32.0,0.2524605172808423,0.30757925677094267,0.3364614328221561
atkinga01,817,2928,399,835,169,7,99,488.0,8.0,291,449.0,20.0,0.0,34.0,0.2851775956284153,0.35013748854262144,0.4491120218579235
aurilri01,1652,5721,745,1576,301,22,186,756.0,23.0,450,861.0,24.0,36.0,47.0,0.27547631532948785,0.3284203780839475,0.43331585387170074
ausmubr01,1971,6279,718,1579,270,34,80,607.0,102.0,634,1034.0,69.0,82.0,37.0,0.25147316451664276,0.325117538110842,0.3435260391782131
austiji01,1580,5388,661,1328,174,76,13,390.0,244.0,592,480.0,44.0,278.0,0.0,0.24647364513734224,0.32602921646746347,0.3142167780252413
averiea01,1668,6353,1224,2019,401,128,238,1164.0,70.0,774,518.0,33.0,55.0,0.0,0.3178026129387691,0.3946927374301676,0.5336061703132379
avilaal01,1018,2971,347,697,146,8,104,388.0,8.0,509,1031.0,17.0,10.0,20.0,0.23460114439582633,0.34773955075348306,0.39414338606529786
avilabo01,1300,4620,725,1296,185,35,80,467.0,78.0,561,399.0,14.0,134.0,14.0,0.2805194805194805,0.35918602418890383,0.38766233766233765
avilemi01,915,3009,380,786,139,13,60,306.0,78.0,141,424.0,16.0,38.0,30.0,0.2612163509471585,0.2950563204005006,0.37587238285144564
aybarer01,1454,5175,643,1402,256,46,58,473.0,155.0,285,670.0,52.0,75.0,39.0,0.27091787439613524,0.3132768870473788,0.37178743961352656
azcuejo01,909,2828,201,712,94,9,50,304.0,5.0,207,344.0,17.0,11.0,32.0,0.25176803394625175,0.3035019455252918,0.3444130127298444
backmwa01,1102,3245,482,893,138,19,10,240.0,117.0,371,480.0,5.0,68.0,19.0,0.27519260400616335,0.3486263736263736,0.3386748844375963
baergca01,1630,5439,731,1583,279,17,134,774.0,59.0,291,580.0,73.0,26.0,66.0,0.2910461481890053,0.33174305673879706,0.42250413678985105
