First Name,Last Name,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,WP,HBP,R,IP,Win Percentage,Strikeout to Walk,WHIP,ERA,Inducted,HOF Prediction,Yes HOF Probability
Dennis,Eckersley,197.0,171.0,1071.0,361.0,100.0,20.0,390.0,3076.0,1278.0,347.0,738.0,2401.0,28.0,75.0,1382.0,3285.66666666667,0.535326086956522,3.25338753387534,1.16079943187582,3.50065942984681,1,1,99.95858073234558
Red,Faber,254.0,213.0,669.0,483.0,273.0,29.0,28.0,4106.0,1430.0,111.0,1213.0,1471.0,52.0,103.0,1813.0,4086.66666666667,0.54389721627409,1.21269579554823,1.30154975530179,3.14926590538336,1,1,99.91949200630188
Bob,Feller,266.0,162.0,570.0,484.0,279.0,44.0,21.0,3271.0,1384.0,224.0,1764.0,2581.0,75.0,60.0,1557.0,3827.0,0.621495327102804,1.46315192743764,1.31565194669454,3.25476874836687,1,1,99.99971389770508
Rollie,Fingers,114.0,118.0,944.0,37.0,4.0,2.0,341.0,1474.0,549.0,123.0,492.0,1299.0,40.0,39.0,615.0,1701.33333333333,0.491379310344828,2.64024390243902,1.15556426332288,2.90419278996865,1,1,99.97274279594421
Whitey,Ford,236.0,106.0,498.0,438.0,156.0,45.0,10.0,2766.0,967.0,228.0,1086.0,1956.0,75.0,28.0,1107.0,3170.33333333333,0.690058479532164,1.80110497237569,1.21501419409105,2.74513720954684,1,1,99.98753070831299
Pud,Galvin,365.0,310.0,705.0,688.0,646.0,57.0,2.0,6405.0,1903.0,121.0,745.0,1807.0,221.0,61.0,3352.0,6003.33333333333,0.540740740740741,2.4255033557047,1.19100499722376,2.852915047196,1,1,99.6295154094696
Bob,Gibson,251.0,174.0,528.0,482.0,255.0,56.0,6.0,3279.0,1258.0,257.0,1336.0,3117.0,108.0,102.0,1420.0,3884.33333333333,0.590588235294118,2.33308383233533,1.18810606710718,2.91478589204497,1,1,99.99970197677612
Tom,Glavine,305.0,203.0,682.0,682.0,56.0,25.0,0.0,4298.0,1734.0,356.0,1500.0,2607.0,65.0,66.0,1900.0,4413.33333333333,0.600393700787402,1.738,1.31374622356495,3.53610271903323,1,0,31.367817521095276
Lefty,Gomez,189.0,102.0,368.0,320.0,173.0,28.0,9.0,2290.0,930.0,138.0,1095.0,1468.0,39.0,19.0,1091.0,2503.0,0.649484536082474,1.34063926940639,1.35237714742309,3.34398721534159,1,0,37.02450096607208
Rich,Gossage,124.0,107.0,1002.0,37.0,16.0,0.0,310.0,1497.0,605.0,119.0,732.0,1502.0,63.0,47.0,670.0,1809.33333333333,0.536796536796537,2.05191256830601,1.23194546794399,3.00939572586588,1,1,89.67896699905396
Clark,Griffith,237.0,146.0,453.0,372.0,337.0,22.0,8.0,3670.0,1246.0,76.0,774.0,955.0,66.0,171.0,1852.0,3385.66666666667,0.618798955613577,1.23385012919897,1.31259230087624,3.31219848380427,1,1,99.04636144638062
Burleigh,Grimes,270.0,212.0,616.0,497.0,314.0,35.0,18.0,4412.0,1638.0,148.0,1295.0,1512.0,92.0,97.0,2048.0,4180.0,0.560165975103734,1.16756756756757,1.36531100478469,3.52679425837321,1,1,91.99891090393066
Jesse,Haines,210.0,158.0,555.0,388.0,208.0,24.0,10.0,3460.0,1298.0,165.0,871.0,981.0,55.0,57.0,1556.0,3208.66666666667,0.570652173913043,1.12629161882893,1.3497818408477,3.64076459588614,1,0,14.201170206069946
Trevor,Hoffman,61.0,75.0,1035.0,0.0,0.0,0.0,601.0,846.0,347.0,100.0,307.0,1133.0,49.0,9.0,378.0,1089.33333333333,0.448529411764706,3.69055374592834,1.05844553243574,2.86689106487148,1,1,76.46445631980896
