First Name,Last Name,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,Inducted,HOF Prediction,Yes HOF Probability
Mickey,Mantle,2401.0,8102.0,1677.0,2415.0,344.0,72.0,536.0,1509.0,153.0,1733.0,1710.0,13.0,14.0,47.0,0.298074549493952,0.420515411824154,0.556776104665515,1,1,99.94010925292969
Heinie,Manush,2008.0,7654.0,1287.0,2524.0,491.0,160.0,110.0,1183.0,114.0,506.0,345.0,70.0,186.0,0.0,0.329762215834858,0.376670716889429,0.478834596289522,1,1,99.99682903289795
Rabbit,Maranville,2670.0,10078.0,1255.0,2605.0,380.0,177.0,28.0,884.0,291.0,839.0,756.0,39.0,300.0,0.0,0.258483826155983,0.317907995618839,0.339650724350069,1,1,99.94450211524963
Eddie,Mathews,2391.0,8537.0,1509.0,2315.0,354.0,72.0,512.0,1453.0,68.0,1444.0,1487.0,26.0,36.0,58.0,0.271172543047909,0.37605563835072,0.509429541993675,1,1,99.9907374382019
Willie,Mays,2992.0,10881.0,2062.0,3283.0,523.0,140.0,660.0,1903.0,338.0,1464.0,1526.0,44.0,13.0,91.0,0.301718592041173,0.383894230769231,0.557485525227461,1,1,99.99361038208008
Tommy,McCarthy,1273.0,5120.0,1066.0,1493.0,191.0,53.0,44.0,732.0,468.0,536.0,185.0,50.0,33.0,0.0,0.2916015625,0.364353312302839,0.375390625,1,1,99.7648298740387
Willie,McCovey,2588.0,8197.0,1229.0,2211.0,353.0,46.0,521.0,1555.0,26.0,1345.0,1550.0,69.0,5.0,70.0,0.269732829083811,0.374444788761492,0.514700500182994,1,1,99.85525012016296
Ed,McKean,1655.0,6894.0,1227.0,2084.0,272.0,158.0,67.0,1124.0,324.0,636.0,257.0,39.0,57.0,0.0,0.302291847983754,0.364513145725988,0.416739193501596,0,1,99.97753500938416
Bid,McPhee,2138.0,8304.0,1684.0,2258.0,303.0,189.0,53.0,1072.0,568.0,982.0,377.0,87.0,56.0,0.0,0.271917148362235,0.354955723887763,0.373073217726397,1,1,99.11296367645264
Joe,Medwick,1984.0,7635.0,1198.0,2471.0,540.0,113.0,205.0,1383.0,42.0,437.0,551.0,26.0,44.0,0.0,0.323641126391618,0.362311681896765,0.504518664047151,1,1,99.9954342842102
Johnny,Mize,1884.0,6443.0,1118.0,2011.0,367.0,83.0,359.0,1337.0,28.0,856.0,524.0,52.0,20.0,0.0,0.312121682446065,0.397088831451503,0.562005277044855,1,1,99.94949102401733
Paul,Molitor,2683.0,10835.0,1782.0,3319.0,605.0,114.0,234.0,1307.0,504.0,1094.0,1244.0,47.0,75.0,109.0,0.306322104291647,0.369052544476624,0.447992616520535,1,1,99.97681975364685
Joe,Morgan,2649.0,9277.0,1650.0,2517.0,449.0,96.0,268.0,1133.0,689.0,1865.0,1015.0,40.0,51.0,96.0,0.271316158240811,0.392090796240468,0.427077719090223,1,1,99.22310709953308
Eddie,Murray,3026.0,11336.0,1627.0,3255.0,560.0,35.0,504.0,1917.0,110.0,1333.0,1516.0,18.0,2.0,128.0,0.287138320395201,0.35942255169723,0.476093860268172,1,1,99.55452680587769
Stan,Musial,3026.0,10972.0,1949.0,3630.0,725.0,177.0,475.0,1951.0,78.0,1599.0,696.0,53.0,35.0,53.0,0.330842143638352,0.416660093081959,0.559059423988334,1,1,99.98923540115356
Buddy,Myer,1923.0,7038.0,1174.0,2131.0,353.0,130.0,38.0,850.0,156.0,965.0,428.0,33.0,151.0,0.0,0.30278488206877,0.389372822299652,0.406081273088946,0,1,96.06180787086487
Jim,O'Rourke,1999.0,8503.0,1729.0,2639.0,468.0,149.0,62.0,1208.0,229.0,513.0,362.0,36.0,0.0,0.0,0.310361049041515,0.35218736190897,0.422321533576385,1,1,99.91655349731445
Mel,Ott,2730.0,9456.0,1859.0,2876.0,488.0,72.0,511.0,1860.0,89.0,1708.0,896.0,64.0,109.0,0.0,0.30414551607445,0.413965087281795,0.533100676818951,1,1,99.9996542930603
Rafael,Palmeiro,2831.0,10472.0,1663.0,3020.0,585.0,38.0,569.0,1835.0,97.0,1353.0,1348.0,87.0,15.0,119.0,0.28838808250573,0.370709001745491,0.514514896867838,0,1,99.94175434112549
Tony,Perez,2777.0,9778.0,1272.0,2732.0,505.0,79.0,379.0,1652.0,49.0,925.0,1867.0,43.0,9.0,106.0,0.279402740846799,0.340950976778474,0.463489466148497,1,1,99.66638684272766
Kirby,Puckett,1783.0,7244.0,1071.0,2304.0,414.0,57.0,207.0,1085.0,134.0,450.0,965.0,56.0,23.0,58.0,0.318056322473771,0.359887295081967,0.476670347874103,1,1,99.91872906684875
